# LEGv8 Instruction Configuration
# Columns: Mnemonic,Format,OpcodeID(Bin),RegW,ALUSrc,MemW,MemR,MemToReg,ZeroB,FlagB,UncondB,Reg2Loc,FlagW,ALUOperation(Enum),ALUControlOutput(Bin)
#---------------------------------------------------------------------------------------------------------------------------
# --- R-Format (OpcodeID = bits 31-21) ---
# --- CB-Format (OpcodeID = bits 31-24) ---
CBZ,C,10110100,0,0,0,0,0,1,0,0,0,0,0001,0111         
# Compare and Branch if Zero, Subtraction
CBNZ,C,10110101,0,0,0,0,0,1,0,0,0,0,0001,0111        
# Compare and Branch if Not Zero, Subtraction
# --- B.cond (Shares OpcodeID with CB-Format, but different control) ---
B.EQ,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
# Branch if Equal, no ALU
B.NE,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
# Branch if Not Equal, no ALU
B.CS,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
# Branch if Carry Set, no ALU
B.CC,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
# Branch if Carry Clear, no ALU
B.MI,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
# Branch if Minus, no ALU
B.PL,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
# Branch if Plus, no ALU
B.VS,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
# Branch if Overflow Set, no ALU
B.VC,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
# Branch if Overflow Clear, no ALU
B.HI,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
# Branch if Higher, no ALU
B.LS,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
# Branch if Lower or Same, no ALU
B.GE,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
# Branch if Greater or Equal, no ALU
B.LT,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
# Branch if Less Than, no ALU
B.GT,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
# Branch if Greater Than, no ALU
B.LE,C,01010100,0,0,0,0,0,0,1,0,0,0,N/A,N/A         
# Branch if Less or Equal, no ALU
# --- IM-Format (OpcodeID = bits 31-23) ---
MOVZ,IM,110100101,1,1,0,0,0,0,0,0,0,0,N/A,N/A        
# Move Wide with Zero, no ALU
MOVK,IM,111100101,1,1,0,0,0,0,0,0,0,0,N/A,N/A        
# Move Wide with Keep, no ALU
